Liên kết,Tên công việc,Mức lương,Khu vực tuyển
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-nhan-su-tuyen-dung-c1p119id200368217.html?open_from=0201_1_1&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Nhân Sự Tuyển Dụng,10 - 14 triệu,Bình Dương
https://vieclam24h.vn/thu-mua-kho-van-chuoi-cung-ung/nhan-vien-theo-doi-don-hang-merchandiser-c14p122id200363456.html?open_from=0201_1_2&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Theo Dõi Đơn Hàng (Merchandiser),8 - 12 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-tu-10-14-trieu-tro-len-c17p122id200366181.html?open_from=0201_1_3&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Kế Toán Tổng Hợp - Từ 10-14 Triệu Trở Lên,10 - 14 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-c17p122id200369155.html?open_from=0201_1_4&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Kế Toán,7 - 9 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/quan-ly-nhan-su-phong-kinh-doanh-c13p122id200364053.html?open_from=0201_1_5&search_id=96750c40abd0128a72e94cf1f23ed3bd,Quản Lý Nhân Sự Phòng Kinh Doanh,16 - 50 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-kinh-doanh-qhkh-cap-cao-luong-khoi-diem-16-trieu-c13p122id200368754.html?open_from=0201_1_6&search_id=96750c40abd0128a72e94cf1f23ed3bd,Chuyên Viên Kinh Doanh (Qhkh Cấp Cao) Lương Khởi Điểm 16 Triệu,16 - 30 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-tu-van-cham-soc-khach-hang-off-chieu-t7-chu-nhat-c13p122id200362492.html?open_from=0201_1_7&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Chuyên Viên Tư Vấn Chăm Sóc Khách Hàng [Off Chiều T7, Chủ Nhật]",7.5 - 15 triệu,TP.HCM
https://vieclam24h.vn/xay-dung/nhan-vien-phien-dich-tieng-trung-c31p73id200361928.html?open_from=0201_1_8&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Phiên Dịch Tiếng Trung,16 - 25 triệu,Hà Nội
https://vieclam24h.vn/nhan-su/truong-phong-hanh-chanh-nhan-su-cv-tieng-trung-c22p118id200367473.html?open_from=0201_1_9&search_id=96750c40abd0128a72e94cf1f23ed3bd,Trưởng Phòng Hành Chánh Nhân Sự [ Cv Tiếng Trung ],20 - 30 triệu,"Tây Ninh, Bình Dương, TP.HCM, Long An"
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-tai-van-phong-khong-yeu-cau-kinh-nghiem-c13p122id200367462.html?open_from=0201_1_10&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Tư Vấn Tại Văn Phòng Không Yêu Cầu Kinh Nghiệm,8 - 15 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/ke-toan-tong-hop-di-lam-ngay-c17p73id200367391.html?open_from=0201_1_11&search_id=96750c40abd0128a72e94cf1f23ed3bd,Kế Toán Tổng Hợp - Đi Làm Ngay,15 - 20 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-tu-van-qua-dien-thoai-luong-cung-den-12-5-trieu-thuong-off-chieu-t7-va-cn-c1p73id200356183.html?open_from=0201_1_12&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Tư Vấn Qua Điện Thoại (Lương Cứng Đến 12.5 Triệu + Thưởng_Off Chiều T7 Và Cn),8 - 15 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/chuyen-vien-tu-van-tai-chinh-off-chieu-t7-cn-c1p121id200356401.html?open_from=0201_1_13&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Chuyên Viên Tư Vấn Tài Chính [Off Chiều T7, Cn]",7.5 - 15 triệu,Bà Rịa - Vũng Tàu
https://vieclam24h.vn/cham-soc-khach-hang/nhan-vien-tu-van-cham-soc-khach-hang-c30p122id200360015.html?open_from=0201_1_14&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Tư Vấn Chăm Sóc Khách Hàng,6 - 15 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/chuyen-vien-tu-van-khach-hang-c1p122id200366524.html?open_from=0201_1_15&search_id=96750c40abd0128a72e94cf1f23ed3bd,Chuyên Viên Tư Vấn Khách Hàng,16 - 40 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-phong-biet-tieng-hoa-c1p119id200343011.html?open_from=0201_1_16&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Văn Phòng Biết Tiếng Hoa,9.5 - 15 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-nghiem-thu-c1p119id200347582.html?open_from=0201_1_17&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Nghiệm Thu,9 - 11 triệu,Bình Dương
https://vieclam24h.vn/cham-soc-khach-hang/nu-nhan-vien-kinh-doanh-lam-tai-van-phong-luong-cung-10-15tr-hoa-hong-c30p73id200365603.html?open_from=0201_1_18&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nữ Nhân Viên Kinh Doanh - Làm Tại Văn Phòng (Lương Cứng 10-15Tr + % Hoa Hồng),15 - 30 triệu,"Hà Nội, Thanh Hóa"
https://vieclam24h.vn/bien-phien-dich/nhan-vien-phien-dich-tieng-trung-co-tu-1-nam-kinh-nghiem-c37p120id200364587.html?open_from=0201_1_19&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Phiên Dịch Tiếng Trung - Có Từ 1 Năm Kinh Nghiệm,10 - 15 triệu,Đồng Nai
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-sale-online-luong-cung-den-15-trieu-tai-ha-noi-c13p73id200363177.html?open_from=0201_1_20&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Sale Online Lương Cứng Đến 15 Triệu - Tại Hà Nội,15 - 25 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-van-hanh-tong-hop-c1p122id200360126.html?open_from=0201_1_21&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Vận Hành (Tổng Hợp),9 - 10 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-tu-van-ban-hang-du-lich-nghi-duong-thu-nhap-len-toi-40m-khach-hang-co-san-ty-le-chot-cao-ha-noi-c13p73id200355529.html?open_from=0201_1_22&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Nhân Viên Kinh Doanh - Tư Vấn Bán Hàng Du Lịch Nghỉ Dưỡng (Thu Nhập Lên Tới 40M, Khách Hàng Có Sẵn - Tỷ Lệ Chốt Cao) _ Hà Nội",20 - 40 triệu,"Hà Nội, TP.HCM"
https://vieclam24h.vn/cham-soc-khach-hang/nv-dat-lich-hen-su-kien-thu-nhap-tu-15-20-tr-khong-chot-sale-chi-lam-viec-tai-van-phong-c30p73id200355527.html?open_from=0201_1_23&search_id=96750c40abd0128a72e94cf1f23ed3bd,NV Đặt Lịch Hẹn Sự Kiện Thu Nhập Từ 15 - 20 Tr (Không Chốt Sale / Chỉ Làm Việc Tại Văn Phòng),15 - 20 triệu,Hà Nội
https://vieclam24h.vn/nhan-su/chuyen-vien-nhan-su-tong-hop-c22p73id200358550.html?open_from=0201_1_24&search_id=96750c40abd0128a72e94cf1f23ed3bd,Chuyên Viên Nhân Sự Tổng Hợp,12 - 15 triệu,Hà Nội
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-c17p119id200366354.html?open_from=0201_1_25&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Kế Toán Tổng Hợp,11 - 13 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-iso-chi-can-biet-tieng-trung-c1p119id200360847.html?open_from=0201_1_26&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên ISO (Chỉ Cần Biết Tiếng Trung),10 - 15 triệu,Bình Dương
https://vieclam24h.vn/bien-phien-dich/thong-dich-vien-tieng-han-nganh-may-mac-c37p122id200364069.html?open_from=0201_1_27&search_id=96750c40abd0128a72e94cf1f23ed3bd,Thông Dịch Viên Tiếng Hàn (Ngành May Mặc),15 - 20 triệu,TP.HCM
https://vieclam24h.vn/xuat-nhap-khau/nhan-vien-xuat-nhap-khau-lam-viec-tai-binh-phuoc-c15p117id200365189.html?open_from=0201_1_28&search_id=96750c40abd0128a72e94cf1f23ed3bd,Nhân Viên Xuất Nhập Khẩu (Làm Việc Tại Bình Phước),10 - 18 triệu,"Bình Phước, TP.HCM"
https://vieclam24h.vn/ke-toan/nu-ke-toan-tong-hop-1-nam-kinh-nghiem-luong-10-12-trieu-q-binh-tan-c17p122id200363295.html?open_from=0201_1_29&search_id=96750c40abd0128a72e94cf1f23ed3bd,"Nữ Kế Toán Tổng Hợp 1 Năm Kinh Nghiệm, Lương 10 - 12 Triệu (Q. Bình Tân)",10 - 12 triệu,TP.HCM
